phase,number,label,display_order
NGC,5,NGC-5,0
NGC,8,NGC-8,1
NGC,15,NGC-15,2
NGC,17,NGC-17,3
NGC,28,NGC-28,4
NGC,46,NGC-46,5
NGC,70,NGC-70,6
NGC,72,NGC-72,7
NGC,73,NGC-73,8
NGC,75,NGC-75,9
NGC,81,NGC-81,10
NGC,84,NGC-84,11
NGC,98,NGC-98,12
NGC,113,NGC-113,13
NGC,132,NGC-132,14
NGC,133,NGC-133,15
NGC,135,NGC-135,16
NGC,160,NGC-160,17
NGC,169,NGC-169,18
NGC,171,NGC-171,19
NGC,176,NGC-176,20
NGC,181,NGC-181,21
NGC,182,NGC-182,22
NGC,185,NGC-185,23
NGC,191,NGC-191,24
NGC,192,NGC-192,25
NGC,195,NGC-195,26
P1,5,P1-5,27
P1,6,P1-6,28
P1,15,P1-15,29
P1,18,P1-18,30
P1,20,P1-20,31
P1,21,P1-21,32
P1,25,P1-25,33
P1,29,P1-29,34
P1,31,P1-31,35
P1,39,P1-39,36
P1,40,P1-40,37
P1,41,P1-41,38
P1,43,P1-43,39
P1,45,P1-45,40
P1,49,P1-49,41
P1,56,P1-56,42
P1,64,P1-64,43
P1,68,P1-68,44
P1,69,P1-69,45
P1,70,P1-70,46
P1,95,P1-95,47
P2,1,P2-1,48
P2,9,P2-9,49
P2,24,P2-24,50
P2,34,P2-34,51
P2,36,P2-36,52
P2,42,P2-42,53
P2,49,P2-49,54
P2,53,P2-53,55
P2,77,P2-77,56
P2,92,P2-92,57
P2,97,P2-97,58
P2,101,P2-101,59
P2,103,P2-103,60
P2,104,P2-104,61
P2,107,P2-107,62
P2,109,P2-109,63
P2,110,P2-110,64
P2,115,P2-115,65
P2,116,P2-116,66
P2,120,P2-120,67
P2,125,P2-125,68
P2,126,P2-126,69
P2,133,P2-133,70
P3,2,P3-2,71
P3,3,P3-3,72
P3,4,P3-4,73
P3,10,P3-10,74
P3,11,P3-11,75
P3,16,P3-16,76
P3,18,P3-18,77
P3,21,P3-21,78
P3,22,P3-22,79
P3,25,P3-25,80
P3,32,P3-32,81
P3,33,P3-33,82
P3,36,P3-36,83
P3,40,P3-40,84
P3,47,P3-47,85
P3,49,P3-49,86
P3,50,P3-50,87
P4,2,P4-2,88
P4,3,P4-3,89
P4,5,P4-5,90
P4,18,P4-18,91
P4,25,P4-25,92
P4,28,P4-28,93
P4,57,P4-57,94
P4,65,P4-65,95
P4,80,P4-80,96
P4,82,P4-82,97
P4,97,P4-97,98
P4,115,P4-115,99
P4,138,P4-138,100
P4,151,P4-151,101
P4,154,P4-154,102
P4,161,P4-161,103
P4,166,P4-166,104
P4,168,P4-168,105
P4,175,P4-175,106
P4,180,P4-180,107
P4,182,P4-182,108
P4,185,P4-185,109
P5,37,P5-37,110
P5,48,P5-48,111
P5,51,P5-51,112
P7,38,P7-38,113
